time,Virginia,California,Florida,New York,Alaska,Texas,North Carolina,Michigan,Rhode Island,New Hampshire,New Jersey,Illinois,the District of Columbia,Georgia,Alabama,Arizona,Washington,Hawaii,Massachusetts,Arkansas,Colorado,Nevada,Tennessee,South Carolina,Maryland,Minnesota,Wisconsin,Nebraska,Utah,Oregon,Iowa,Vermont,Connecticut,Oklahoma,Kentucky,Missouri,Idaho,Ohio,Indiana,Wyoming,New Mexico,West Virginia,Kansas,South Dakota,Maine,Mississippi,Pennsylvania,North Dakota,Montana,Delaware,Louisiana
1/1/2000,121541.9104,187481.0714,107011.6184,152778.0183,131599.2688,109950.8105,126877.8643,115152.9053,130073.002,130982.5051,168372.131,126216.5202,160583.2348,122202.505,97887.4404,134118.9513,172532.4167,193108.6336,192274.4386,85424.85627,172550.7737,152782.6843,108710.7713,111451.9266,149871.3133,123363.8791,117312.2058,113372.7615,168483.0823,150057.3923,89931.92377,113472.2024,161721.1142,80661.40815,83896.86225,95148.41298,120896.0336,104901.5607,96906.85975,,,72748.0587,87225.8949,106386.1621,106412.5508,84883.09659,97630.33946,,,145351.9784,102565.4231
2/1/2000,121856.4161,188111.2512,107243.4155,153322.0582,131748.7378,110010.5606,127070.8925,115216.3287,130664.5628,131427.4732,168826.0031,126317.671,161108.4678,122480.0057,98057.89767,134361.8801,172921.5876,193019.2897,192916.379,85539.02252,173163.4534,152801.7826,108801.4588,111697.9676,149850.5265,123779.1265,117278.1583,113553.9926,168575.3913,150387.3844,90103.77945,113662.2086,162337.2296,80694.68119,83940.17779,95259.93425,120822.7446,104965.6651,96773.61505,,,72744.94469,87243.01751,106160.1267,106766.5873,84836.54403,97839.16336,,,145578.1127,102763.2625
3/1/2000,122189.8661,188962.1483,107524.3998,153845.7842,131898.1286,110039.5403,127269.7078,115448.5264,131285.7991,131958.6578,169259.0772,126536.3129,161853.7193,122800.1952,98172.10735,134674.534,173318.5766,193315.6725,193680.1868,85668.55374,173840.5278,153038.2488,108893.9501,111898.4537,149956.715,124165.4662,117409.3989,113721.9604,168720.3163,150688.8554,90266.01842,113960.6069,162980.5565,80849.77747,84018.98864,95426.8997,120869.1797,105062.8828,96623.95987,,,72768.4591,87343.89426,105843.8068,107082.6967,84834.51881,98035.40174,,,145859.6703,102917.0004
4/1/2000,122819.9755,190809.1922,108095.5687,154972.1766,132073.329,110183.3694,127700.9732,115911.0633,132513.2605,132756.0397,170218.5665,127050.6653,163451.6919,123474.3348,98427.97124,135312.9553,174119.8018,193829.7991,195184.566,85945.12384,175354.442,153580.1532,109116.4768,112358.0385,150212.9511,125072.3513,117597.873,113982.6975,169083.9357,151321.4723,90616.45016,114546.9418,164070.4789,81132.19966,84214.84081,95808.54523,120965.5893,105348.756,96169.0243,,,72827.97548,87494.69797,105417.4415,107779.1039,84895.71503,98435.30572,,,146503.5861,103263.5938
5/1/2000,123428.2772,192956.1025,108711.5127,156137.5901,132337.0796,110276.5153,128181.4267,116593.1702,133736.3705,133628.8198,171196.6904,127660.9605,165225.1458,124217.8838,98713.34584,136036.6147,174994.2887,194836.9296,196812.9825,86217.90778,177044.2326,154270.6841,109373.1688,112787.1326,150749.1598,126067.2228,117973.8938,114114.9197,170401.71,151885.632,91003.62311,115222.1647,164966.1062,81511.53659,84475.13377,96301.52065,121279.9639,105784.6417,95949.20929,,,72944.08894,87722.02107,105240.0611,108435.1231,85193.50704,98846.10725,,,147238.0007,103630.8059
6/1/2000,124015.7,195272.6124,109339.9741,157397.7243,132534.2491,110380.9545,128692.5116,117342.3287,134668.2877,134550.8269,172364.0714,128346.8545,167130.0766,125005.7955,99058.37516,136686.0271,175829.1016,195974.3271,198577.3415,86479.80212,178868.9374,154890.6105,109627.9243,113259.7873,151397.4673,127217.4828,118415.2203,114193.1652,171854.4788,152409.2868,91394.41508,115852.6276,165853.2038,81871.15612,84761.27255,96846.28967,121664.1828,106325.485,96014.138,,,73136.97988,87978.43597,105118.5184,109171.6004,85619.5648,99268.30008,,,148048.2483,104030.8186
7/1/2000,124728.769,197719.0124,109971.4241,158530.5806,132945.6789,110449.5873,129191.5938,118216.322,135519.9963,135830.3805,173685.0707,129090.8014,168938.5662,125801.9592,99377.85914,137346.4157,176736.0394,197111.7731,200665.2342,86732.94131,180717.833,155371.0841,109903.4952,113718.4545,152164.751,128482.7396,118999.6594,114283.7917,173310.8504,152845.2912,91791.27933,116480.6326,166844.6691,82243.54427,85083.88634,97438.55511,122044.1432,106860.1381,96485.97239,,,73390.45831,88311.97491,105033.76,109963.5799,86013.04105,99716.64284,,,148872.6416,104421.8772
8/1/2000,125569.6466,200273.1831,110614.5235,159522.2037,133139.19,110652.6299,129662.2356,119098.5511,136373.4344,137329.4007,175290.2726,130149.7209,170494.1866,126643.5543,99666.57689,137980.7731,177574.0538,198427.9229,203234.6043,87020.92578,182724.8932,155833.9953,110187.9153,114223.3738,152876.791,130215.5963,119645.6005,114500.6789,173910.7299,153310.9851,92130.6564,117129.907,168044.1363,82590.20082,85452.94735,98077.20503,122427.8905,107379.7849,96966.9029,,,73722.02702,88674.16844,104878.0271,110787.4997,86387.7982,100144.6345,,,149674.84,104731.0857
9/1/2000,126488.5757,202833.2812,111281.1007,160403.3561,133315.7155,110918.8904,130121.6014,119941.7811,137424.9697,138939.8462,177065.2995,131395.0289,171662.6942,127503.712,99976.27876,138682.3682,178336.8492,199728.8876,206121.7688,87346.64978,184831.8318,156391.1263,110527.7296,114744.6345,153604.5093,132007.016,120292.6509,114765.6074,174435.2416,153702.5737,92484.66507,117847.7015,169307.0621,82905.31773,85862.57285,98720.24034,122749.1413,107890.3729,97342.71282,,,74018.92318,89013.43415,105094.9855,111644.919,86721.63843,100580.718,,,150415.3456,105083.2429
10/1/2000,127358.0318,205261.0847,111961.5719,161347.8356,133259.1206,111204.1936,130607.2521,120729.3231,138478.9531,140792.7961,178860.1776,132832.3413,171960.3984,128397.7034,100331.6468,139358.3683,179001.0638,201090.7865,209171.6326,87673.87357,186924.5476,157017.4845,110856.833,115257.7061,154372.4657,133840.373,120926.2078,115043.7896,174878.2761,154095.9225,92920.97139,118711.5012,170689.1363,83186.9365,86245.25474,99403.82338,123059.3398,108383.6088,97802.8009,,,74361.35201,89360.28975,105338.1603,112455.544,87184.826,100998.938,,,151076.6181,105500.2701
11/1/2000,128236.8416,207652.0109,112668.6939,162504.8878,133396.4902,111533.4161,131154.1169,121543.9845,139488.8563,142571.0003,180461.4099,133929.2789,172254.0794,129283.5451,100733.913,140009.3666,179673.1009,201975.4542,212118.3107,88100.52993,188938.4289,157742.8398,111217.0907,115768.8081,155167.369,135366.0246,121514.9856,115363.9408,175427.498,154492.4749,93358.92449,119589.6787,172085.1856,83511.37158,86650.11566,100145.8924,123306.4832,108865.03,98355.57358,,,74809.05192,89736.54763,105377.8659,113429.8137,87676.5992,101460.3163,,,151889.1492,106050.3782
12/1/2000,129135.4542,209991.9989,113398.0298,163774.9656,133729.355,111899.1032,131734.4539,122391.2748,140570.9065,144373.017,181884.702,134800.005,172610.2025,130221.1122,101179.3325,140641.7378,180470.8054,202750.2678,215031.0215,88583.24334,190862.5678,158444.645,111623.2007,116205.2231,156032.9824,136963.0119,122092.6575,115692.9203,175953.9782,154940.9191,93844.90416,120467.9733,173344.3414,83898.8069,87071.6427,100846.5169,123546.9359,109323.855,99006.37399,,,75391.86535,90164.41941,105277.3476,114496.8697,88303.32005,101937.545,,,152648.6117,106649.3222
1/1/2001,130040.356,211971.5135,114064.9142,164993.1588,136082.7343,112117.4351,132333.7946,123191.9083,141632.969,146013.4868,183216.8466,135425.024,173402.6606,131131.2397,101676.884,141257.5813,181305.3822,203399.118,217662.9733,89153.98322,192792.3591,159164.1541,112087.136,116713.5499,156747.4039,138402.9248,122621.7291,116195.2635,176444.1153,155446.4899,94174.64253,121247.8725,174447.5927,84329.99289,87561.98935,101369.2143,123936.7302,109749.5766,99475.79416,,,76100.98894,90696.64514,105337.7243,115810.1268,88873.76129,102408.6012,,,153490.5888,107313.4691
2/1/2001,130843.0048,213928.8468,114727.4644,166007.0185,139807.0293,112084.4449,132780.7262,123810.2128,142696.2207,147769.3701,184686.441,136051.2881,174214.3133,131914.4611,102098.2595,141871.8713,182130.7951,204040.7171,220066.24,89521.43946,194610.3793,159927.6526,112454.6262,117168.3633,157396.8128,139691.4697,123138.7247,116532.278,176726.0465,155874.7814,94472.1399,122120.0767,175363.7283,84748.44233,88009.33817,101730.7682,124331.8806,110088.272,99636.51418,,,76544.78373,91310.85248,105554.7826,117025.5089,89216.74148,102839.3003,,,154178.1916,107892.7983
3/1/2001,131670.0178,216131.9868,115420.0723,166921.4528,144561.4221,111865.9725,133142.1892,124315.6168,143829.2106,149422.0182,186146.0669,136730.1928,175360.0793,132583.3343,102445.5078,142489.081,182907.336,204615.3181,222435.0231,89797.43741,196453.4747,160759.193,112762.7773,117639.3073,157948.8513,140971.2903,123655.5881,114186.0689,176895.3767,156329.9036,94661.95258,123033.5748,176382.5987,85110.99363,88435.82431,102130.979,124875.8186,110402.8011,99635.15089,,,76879.56988,91957.17134,106000.3194,118163.5356,89426.75073,103272.495,,,154927.1051,108450.7547
4/1/2001,132534.4766,218871.2924,116238.2097,167876.1595,148160.0032,111737.9757,133409.388,124758.4559,145146.5548,151126.7282,187688.3915,137421.9205,177104.2478,133199.8976,102695.8784,143116.5578,183666.8154,205301.526,224882.4151,89969.07929,198247.823,161590.5543,113007.6263,117961.8475,158691.8766,142357.3095,124225.6937,110836.3345,177071.3204,156727.1983,94924.20281,123951.2458,177559.6931,85451.58234,88818.25812,102645.8493,125399.556,110714.2534,99590.53397,,,77036.54633,92514.95228,106401.1675,119060.1067,89602.65753,103737.3078,,,155641.2351,108937.3448
5/1/2001,133490.6527,221616.2692,117134.3169,168930.5432,151141.9765,111780.9515,133720.2759,125295.6814,146547.9603,153029.4722,189210.614,138245.1134,179095.1864,133881.0071,102943.772,143753.4759,184323.3629,206293.3884,227410.9681,90283.47135,200038.611,162475.5759,113290.2009,118325.9162,159561.5636,143773.6103,124814.6641,107369.8235,177171.3744,157173.4441,95224.45319,124798.8081,178885.402,85750.05226,89217.89296,103256.941,125912.0509,111052.1574,99787.5613,,,77343.71622,93035.8848,106987.8069,120131.8786,89918.78282,104182.1432,,,156381.8142,109381.8968
6/1/2001,134447.0311,224109.8536,118069.7084,170094.3292,153646.009,111911.2638,134032.9801,125844.1317,147993.4146,155065.8286,190906.4022,139112.6368,181015.9055,134561.1052,103199.0175,144395.9093,184995.2865,207420.3757,230065.9457,90640.64702,201638.7211,163333.8131,113566.0783,118712.6113,160608.4452,145191.2229,125435.9244,106497.2573,177338.8513,157638.7597,95607.43388,125598.5156,180221.6635,86046.17373,89643.54782,103925.1189,126293.2675,111384.8152,100137.2081,,,77655.15112,93540.4196,107290.0306,121314.5248,90254.30118,104635.0447,,,157108.9873,109788.7053
7/1/2001,135476.7889,226444.4116,119075.2814,171316.131,155994.7215,112064.3411,134331.4663,126412.7128,149543.1941,157103.829,192732.5011,140007.5652,182946.4623,135239.4178,103487.7916,145007.1205,185630.7912,208657.5961,232881.3906,91052.43687,203216.7425,164248.3473,113830.4863,119186.2215,161733.6216,146677.9649,126097.654,106470.6532,177478.0865,158183.5448,95994.90587,126418.9883,181516.9831,86325.09779,90068.16611,104607.7837,126684.3655,111755.9624,100561.8977,,,77966.5005,94035.03309,107579.0268,122647.4557,90532.88628,105122.3179,,,157801.2528,110179.3575
8/1/2001,136514.1371,228693.793,120141.1213,172598.6549,157694.4959,112201.8396,134671.1501,127015.227,151396.3462,158965.5016,194748.1901,141102.898,185074.6987,135928.2567,103744.577,145611.5745,186413.7255,209864.5052,235949.21,91395.27492,204771.25,165181.1754,114141.8701,119573.2314,162974.3471,148296.9542,126794.5582,106635.8713,177749.1058,158803.2876,96418.42433,127173.9043,183193.9101,86636.69875,90443.12984,105233.9873,127158.3068,112167.9456,100934.9549,,,78255.07901,94499.0224,107648.1234,123790.4711,90849.30535,105659.0851,,,158534.4777,110619.4517
9/1/2001,137583.5992,230877.0285,121246.0915,173853.0192,158888.2889,112346.4501,135018.4027,127670.336,153432.9249,160836.3269,196909.6107,142360.1334,187337.1024,136614.6545,104033.1044,146219.9677,187124.6941,211199.3069,238929.4864,91689.35131,206231.6312,166143.9186,114471.8184,119904.3177,164245.2711,150024.9606,127495.4347,106866.5583,178000.7676,159384.4536,96841.28846,127936.0595,185050.3733,86964.16153,90765.67518,105835.827,127669.4177,112588.1452,101134.2869,,,78500.20107,94915.96203,107738.3893,124875.1574,91140.43119,106202.3705,,,159314.1425,111065.0469
10/1/2001,138607.5147,232918.4007,122354.0936,175173.2825,159682.982,112497.7096,135400.6298,128333.5825,155707.4019,162632.3715,199164.8057,143806.5242,189605.8261,137293.2655,104364.7447,146877.335,187918.6008,212564.1932,242106.5282,91877.83878,207507.7649,167121.7339,114833.9624,120213.5188,165457.1435,151810.1249,128176.2159,107088.7267,178265.1405,159944.6437,97271.1715,128755.5187,187143.0598,87270.96692,91049.41483,106464.4792,128150.1184,112991.3662,101439.5243,,,78763.63807,95326.4029,107944.9705,125850.5261,91591.01417,106701.5968,,,160146.7031,111501.9353
11/1/2001,139667.2222,234836.1417,123416.7102,176555.3715,160595.263,112608.2254,135699.1098,128935.539,157741.2212,164365.0539,201227.3713,144910.1493,191771.4319,137908.2655,104689.9261,147558.4492,188616.6737,213775.8949,245227.7158,92007.65402,208547.6793,168035.5694,115130.6879,120537.4523,166643.6011,153509.0802,128823.6904,107307.4908,178458.3458,160443.5573,97686.71173,129729.6455,188971.5867,87523.93098,91320.40621,107134.2951,128455.6538,113355.7455,101677.6874,,,78922.60172,95723.2681,108191.2401,127007.8649,91928.87755,107208.5344,,,161012.7718,111920.3053
12/1/2001,140673.0135,236629.4773,124458.8712,178022.8762,161623.7437,112697.5093,135960.745,129492.6342,159724.9535,166082.4275,203086.1502,145726.791,193967.8274,138481.4936,104931.4768,148195.305,189469.8903,214855.8818,248165.8931,92084.11843,209364.4747,168981.7239,115356.3939,120861.608,167848.7908,154963.0039,129445.3576,107546.1587,178545.5325,160970.9684,98112.45174,130746.761,190486.9998,87749.25038,91564.98056,107814.172,128725.7082,113685.2843,102002.3039,,,79032.54773,96130.37869,108354.9562,128132.3611,92195.22221,107688.0563,,,161897.4448,112291.6207
1/1/2002,141616.7856,238078.422,125399.8267,179471.7675,162377.5306,112727.9736,136179.9594,130068.1329,161344.6111,167796.9675,204825.5262,146290.5328,196072.741,138969.3429,105074.1695,148727.8745,190190.8774,215623.6346,250555.1602,92172.83431,209827.9703,169836.0283,115518.586,121108.4297,169060.7243,156170.263,130033.1577,107840.9597,178567.0785,161476.3611,98392.2447,131807.8264,191684.0285,87963.99396,91768.06762,108434.2081,128898.7708,113964.1554,102049.614,,,79122.24601,96515.92619,108483.9103,129414.3464,92327.15469,108165.1678,,,162800.4659,112574.4521
2/1/2002,142552.4232,239559.7862,126270.2223,180787.1509,162980.8315,112812.4269,136365.3991,130561.2578,163016.8527,169442.6188,206616.704,146949.8573,198183.8331,139439.2429,105228.2798,149210.1138,190893.0587,216622.6472,252601.8048,92314.35299,210243.6664,170588.3612,115694.0833,121257.0699,170230.6674,157177.878,130577.4742,108123.9571,178486.1633,161969.2589,98576.46062,132858.0869,192777.0253,88228.806,91969.9079,109024.1691,129151.6055,114193.0419,102036.5162,,,79325.16818,96837.84446,108945.673,130708.1392,92371.75769,108637.6979,,,163708.0277,112891.1169
3/1/2002,143533.8626,241293.6856,127121.2114,181902.7208,163483.4885,113024.0548,136541.8453,130995.0589,164652.6197,170903.5817,208446.7759,147750.9165,200144.455,139866.3106,105358.078,149733.8545,191510.036,217767.5685,254686.6262,92493.30258,210838.4426,171416.1957,115875.8446,121386.2188,171405.3019,158107.0341,131073.8508,108475.8793,178536.8213,162451.5515,98669.99355,133941.357,194038.1375,88479.23331,92159.34129,109532.5939,129345.6222,114412.9869,101868.2898,,,79612.76843,97126.52521,109312.4943,132076.0478,92410.53889,109130.3807,,,164676.5353,113259.342
4/1/2002,144642.967,243633.325,128078.7313,183002.4162,164308.5218,113396.2128,136657.9225,131312.9408,166530.2804,172454.0325,210290.9136,148498.8416,202420.682,140322.2124,105505.0465,150315.6079,192074.6032,219235.3897,256905.7249,92701.1327,211610.4755,172359.7805,116040.2661,121506.4015,172724.5537,158992.1572,131549.2394,108762.8227,178664.4101,162950.8562,98921.80939,134984.8211,195526.5469,88744.62918,92353.70259,110017.4339,129556.1851,114635.3304,101722.4454,144415.0081,132020.8978,79860.07249,97395.513,109564.9071,133483.214,92370.60985,109672.5455,,,165692.0471,113693.0865
5/1/2002,145785.1696,246365.1271,129129.3201,184174.6992,165049.1407,113834.6587,136838.1095,131637.5172,168716.5131,173940.6408,212203.8614,149291.9706,204982.9573,140787.28,105692.1389,150906.0503,192569.219,220532.4947,259301.6362,92970.13352,212482.8583,173423.9593,116223.771,121718.5525,174375.5555,160139.2648,132050.9222,109161.7292,178775.7646,163583.4997,99301.37426,135962.9744,197286.2965,88977.68281,92533.68929,110524.346,129790.0053,114898.6545,101757.4591,143131.357,132245.1151,80070.77511,97407.63039,109667.5865,134823.4544,92474.8117,110264.955,,,166697.0986,114490.4308
6/1/2002,147046.7778,249396.076,130227.7654,185535.9019,165646.5134,114325.8778,137027.1099,131996.6446,171140.6678,175603.2629,214351.6782,150074.2303,207829.9486,141263.6318,105924.9574,151570.0054,193011.865,221962.0835,261792.3501,93291.38393,213221.7069,174321.3419,116433.9211,121945.522,176268.0066,161315.8532,132596.0818,109478.2716,178874.4721,164339.3354,99796.22448,136918.7915,199293.7792,89215.87764,92733.97552,111108.8218,130135.4242,115193.4583,102017.0237,142546.4372,132344.4329,80273.03787,97339.81726,110017.0858,136219.2276,92652.09888,110917.2115,,,167767.5203,115245.7017
7/1/2002,148385.6794,252902.5428,131346.0862,186998.0733,166183.6151,114825.1967,137285.0905,132345.2955,173854.429,177280.0503,216763.5949,151014.7953,210613.9286,141713.117,106195.5795,152288.4287,193573.6379,223707.4776,264609.5223,93664.18773,213939.1447,175141.3018,116680.111,122269.3948,178371.1724,162597.4162,133168.1638,109826.701,178970.4974,165166.4312,100239.3103,137780.6726,201431.6308,89470.45269,92983.0903,111743.2912,130485.119,115537.7581,102370.4139,141653.0444,132685.6444,80522.91585,97243.92532,110436.533,137624.5924,92961.26785,111647.1938,,,168865.7066,116041.7941
8/1/2002,149813.7307,256677.1525,132541.2429,188630.7586,166741.0347,115352.8541,137541.1616,132738.3039,177059.2482,179217.3193,219707.8493,152211.6467,213246.7861,142145.6911,106438.8706,153105.788,194248.3864,225961.2961,267599.3418,93990.26566,214446.516,175904.0084,116905.7907,122582.3217,180527.9076,163759.3336,133808.6814,110126.0665,178998.3297,165854.0427,100627.983,138577.2285,203517.0847,89740.57066,93257.09314,112327.5789,130809.4074,115896.9283,102554.9446,141734.2076,133057.6697,80813.64207,97224.00389,110823.8429,138950.9489,93240.98851,112471.0767,,,170052.8058,116190.9641
9/1/2002,151241.6058,260490.6169,133723.6531,190312.9493,167350.6292,115817.9021,137799.5582,133112.3245,180865.4732,181277.7143,222978.8321,153535.3737,215983.4251,142588.4767,106697.1435,153811.943,194919.0323,228680.9925,270895.4223,94324.51391,214975.4661,176611.7666,117140.8603,122894.5382,182637.5949,164966.9244,134469.3556,110451.1983,178873.9406,166451.0471,100929.7898,139270.2996,205380.8755,90033.10044,93548.44101,112922.54,131121.0508,116258.6311,102589.968,142310.4947,133500.3552,81103.87079,97250.53467,111315.1474,140220.991,93567.57571,113326.0501,,,171168.5662,116302.8249
10/1/2002,152627.0312,264109.4959,134904.5126,191990.1061,167833.7802,116216.9871,138054.7251,133551.7382,184589.7748,183540.32,226419.0447,154961.5589,218915.3014,143053.847,106955.2465,154520.8809,195575.1501,231353.9381,274695.1162,94695.37922,215504.6328,177499.3279,117410.9593,123189.579,184649.112,166140.8917,135205.3679,110807.6546,178520.2441,167007.9552,101267.5866,139997.9483,207575.7994,90314.53256,93826.25275,113562.7185,131440.149,116621.0606,102733.9269,142828.8411,133889.5338,81478.77403,97280.84093,111649.0313,141380.5134,93957.78709,114163.6662,,,172313.655,116403.5875
