,RMSE
"(0, 0, 0)",23675.893496955767
"(0, 0, 1)",34285.31458261648
"(0, 0, 2)",35949.18404050937
"(0, 0, 3)",33567.10145852218
"(0, 0, 4)",33684.28763699311
"(0, 0, 5)",32175.07826789618
"(0, 0, 6)",33776.389407876486
"(0, 0, 7)",31781.74519526806
"(0, 1, 0)",0.0
"(0, 1, 1)",23673.995409042298
"(0, 1, 2)",29599.431650386843
"(0, 1, 3)",30310.695622442006
"(0, 1, 4)",28953.732180733055
"(0, 1, 5)",28852.777913638925
"(0, 1, 6)",29003.10128608526
"(0, 1, 7)",29893.965043364202
"(1, 0, 0)",34669.60695274088
"(1, 0, 1)",35388.957142557774
"(1, 0, 2)",31700.97475908075
"(1, 0, 3)",31382.982771688676
"(1, 0, 4)",30047.09014837906
"(1, 0, 5)",25175.53566206779
"(1, 0, 6)",32410.474499996082
"(1, 0, 7)",32194.65198290127
"(1, 1, 0)",22956.91357099044
"(1, 1, 1)",34727.29846845714
"(1, 1, 2)",30152.054669897847
"(1, 1, 3)",31799.284313598793
"(1, 1, 4)",20686.808138671353
"(1, 1, 5)",21164.62871165163
"(1, 1, 6)",20924.98797249307
"(1, 1, 7)",21425.368595993546
"(2, 0, 0)",33825.43011734767
"(2, 0, 1)",34391.103937718464
"(2, 0, 2)",31462.229860230043
"(2, 0, 3)",22346.051157640486
"(2, 0, 4)",22196.327295027244
"(2, 0, 5)",22213.893354211225
"(2, 0, 6)",22376.534777497694
"(2, 0, 7)",35005.77179393869
"(2, 1, 0)",15104.335025613527
"(2, 1, 1)",33878.52840031928
"(2, 1, 2)",29468.47300015438
"(2, 1, 3)",20624.226931607307
"(2, 1, 4)",26436.355547312145
"(2, 1, 5)",34363.67180408948
"(2, 1, 6)",31808.27202942671
"(2, 1, 7)",24004.78415201475
"(3, 0, 0)",40705.75418562333
"(3, 0, 1)",34841.51316136595
"(3, 0, 2)",30425.218909809162
"(3, 0, 3)",22199.37262836396
"(3, 0, 4)",29165.503430601086
"(3, 0, 5)",29176.607007464932
"(3, 0, 6)",28383.038396722626
"(3, 0, 7)",27315.799084069593
"(3, 1, 0)",44951.77768133114
"(3, 1, 1)",40692.2475668632
"(3, 1, 2)",29419.93576903979
"(3, 1, 3)",21565.705229237166
"(3, 1, 4)",27923.254092445753
"(3, 1, 5)",21182.34551672788
"(3, 1, 6)",22561.822835672127
"(3, 1, 7)",22172.53995832337
"(4, 0, 0)",33263.30302530111
"(4, 0, 1)",33747.34992860605
"(4, 0, 2)",34095.80892081056
"(4, 0, 3)",22359.201617712482
"(4, 0, 4)",30989.542105742876
"(4, 0, 5)",20146.507601875306
"(4, 0, 6)",32100.52968116403
"(4, 0, 7)",26648.728823514517
"(4, 1, 0)",35367.225725929005
"(4, 1, 1)",33317.24908002285
"(4, 1, 2)",30999.82264565938
"(4, 1, 3)",26686.867064385988
"(4, 1, 4)",25130.471911094646
"(4, 1, 5)",26112.777946571696
"(4, 1, 6)",22613.338972490477
"(4, 1, 7)",26683.039045758997
"(5, 0, 0)",35239.68000582427
"(5, 0, 1)",34957.567419047715
"(5, 0, 2)",37042.7005406111
"(5, 0, 3)",22307.129472216737
"(5, 0, 4)",32866.90112324154
"(5, 0, 5)",24068.042951594114
"(5, 0, 6)",35929.26216838871
"(5, 0, 7)",28510.0883852074
"(5, 1, 0)",34704.033805118124
"(5, 1, 1)",34430.46321129339
"(5, 1, 2)",29920.854105693805
"(5, 1, 3)",46950.19640516209
"(5, 1, 4)",23508.295665995818
"(5, 1, 5)",25236.865148944213
"(5, 1, 6)",31632.41615674535
"(5, 1, 7)",22463.913498336984
"(6, 0, 0)",35431.209692579316
"(6, 0, 1)",34953.20891691159
"(6, 0, 2)",34902.167677329475
"(6, 0, 3)",28804.13247758983
"(6, 0, 4)",29559.954663270742
"(6, 0, 5)",24502.007128862628
"(6, 0, 6)",36226.5350173302
"(6, 0, 7)",26683.3143645019
"(6, 1, 0)",29590.060620295073
"(6, 1, 1)",34112.59396355436
"(6, 1, 2)",31531.56378476193
"(6, 1, 3)",22532.191532236622
"(6, 1, 4)",22831.98365351001
"(6, 1, 5)",30379.39551640838
"(6, 1, 6)",27779.953504620826
"(6, 1, 7)",15985.50331069
"(7, 0, 0)",36961.16195027639
"(7, 0, 1)",35720.5592820512
"(7, 0, 2)",41235.14230112547
"(7, 0, 3)",27993.50287988447
"(7, 0, 4)",32965.462089454195
"(7, 0, 5)",38730.851618333676
"(7, 0, 6)",29429.472884308758
"(7, 0, 7)",25838.14780713542
"(7, 1, 0)",54172.51126209019
"(7, 1, 1)",36266.326178118674
"(7, 1, 2)",29292.212473585136
"(7, 1, 3)",30016.977589578855
"(7, 1, 4)",24583.72756270846
"(7, 1, 5)",17824.222791088792
"(7, 1, 6)",29409.240770368575
"(7, 1, 7)",22292.066362014757
